year,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,len_panic
2021-before-edition2021,egui,67c60025,Mac,Behavior,15,3,1,0,safe,safe,-1
2021-before-edition2021,egui,693426d9,Alg,Behavior,201,159,0,0,safe,safe,-1
2021-before-edition2021,egui,6fb4e19e,Alg,Crash,1,1,0,0,safe,safe,-1
2021-before-edition2021,egui,74494cd7,Alg,Behavior,4,0,0,0,safe,safe,-1
2021-before-edition2021,egui,7df24084,Alg,Behavior,7,5,0,0,safe,safe,-1
2021-before-edition2021,egui,de02f7d0,Alg,Behavior,6,3,0,0,safe,safe,-1
2021-before-edition2021,egui,e43cfeac,Mac,Behavior,6,4,1,0,safe,safe,-1
2021-before-edition2021,egui,ee1fcf1e,Alg,Behavior,23,12,1,1,safe,safe,-1
2021-before-edition2021,meilisearch,0136b02e,Alg,Behavior,2,2,0,0,safe,safe,-1
2021-before-edition2021,meilisearch,0a0eee49,Alg,Panic,5,5,0,0,safe,safe,1
2021-before-edition2021,meilisearch,3172c96,Ver,Panic,3,3,0,0,safe,safe,-1
2021-before-edition2021,meilisearch,71e1cb47,Cod,Panic,16,6,0,1,safe,safe,3
2021-before-edition2021,meilisearch,7691b0d,Unwrap,Panic,14,24,0,1,safe,safe,-1
2021-before-edition2021,meilisearch,7e3b2ddf,Alg,Crash,23,13,0,1,safe,safe,-1
2021-before-edition2021,meilisearch,81e9fd89,Alg,Behavior,97,2,0,0,safe,safe,-1
2021-before-edition2021,meilisearch,c101b2a5,Doc,Behavior,18,85,0,1,safe,safe,-1
2021-before-edition2021,meilisearch,c984fa10,Conc,Behavior,96,61,0,1,safe,safe,-1
2021-before-edition2021,rust,issue-80682,Owner,Behavior,4,4,0,0,safe,safe,-1
2021-before-edition2021,rust,issue-83618,Mem,Crash,27,11,0,0,unsafe,unsafe,-1
2021-before-edition2021,rust-analyzer,26a10767,Alg,Behavior,6,1,0,1,safe,safe,-1
2021-before-edition2021,rust-analyzer,4675410f,Alg,Panic,24,7,0,0,safe,safe,-2
2021-before-edition2021,rust-analyzer,48c3be92,Alg,Behavior,10,253,0,0,safe,safe,-1
2021-before-edition2021,rust-analyzer,4f3ce62b,Alg,Behavior,16,0,0,1,safe,safe,-1
2021-before-edition2021,rust-analyzer,580a6c41,Alg,Behavior,89,15,0,1,safe,safe,-1
2021-before-edition2021,rust-analyzer,5bdae829,Unwrap,Panic,63,16,0,1,safe,safe,-3
2021-before-edition2021,rust-analyzer,b7bedf16,Alg,Behavior,88,62,0,1,safe,safe,-1
2021-before-edition2021,rust-analyzer,c6d95657,Bound,Panic,73,28,0,1,safe,safe,-3
2021-before-edition2021,rust-analyzer,cd9f27d4,Alg,Behavior,112,20,0,1,safe,safe,-1
2021-before-edition2021,rust-analyzer,d44779f8,Alg,Panic,67,27,0,1,safe,safe,-3
2021-before-edition2021,rust-analyzer,e504f8ae,Alg,Panic,55,7,0,0,safe,safe,3
2021-before-edition2021,rust-analyzer,e77fc481,Alg,Panic,7,12,0,1,safe,safe,-3
2021-before-edition2021,rust-analyzer,f30b62b7,Bound,Panic,13,70,0,0,safe,safe,3
2021-before-edition2021,snarkOS,1fae1f67,Doc,Behavior,74,89,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,21647244,Doc,Behavior,16,24,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,3410160d,Mac,Panic,16,32,0,2,safe,safe,-1
2021-before-edition2021,snarkOS,3698cc7d,Alg,Behavior,2,0,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,39448912,Alg,Behavior,2,0,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,487c7866,Alg,Behavior,1,1,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,57955278,Alg,Performance,26,15,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,5db417ff,Alg,Behavior,1,1,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,792bdd73,Alg,Behavior,500,187,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,8ac8132b,Alg,Behavior,1,1,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,8eb1fc77,Alg,Behavior,30,27,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,8eb303e5,Alg,Behavior,63,28,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,96300001,Ver,Crash,68,68,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,96c20381,Alg,Behavior,35,25,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,96e2d9e6,Alg,Behavior,10,3,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,979e341a,Alg,Behavior,103,107,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,999c011c,Alg,Behavior,62,78,0,0,safe,safe,-1
2021-before-edition2021,snarkOS,b61d1cba,Alg,Behavior,42,41,0,1,safe,safe,-1
2021-before-edition2021,snarkOS,b7955055,Alg,Performance,12,3,0,0,safe,safe,-1
2021-before-edition2021,tikv,045c8b3a,Alg,Behavior,7,7,0,0,safe,safe,-1
2021-before-edition2021,tikv,103f5ff4,Unwrap,Panic,16,5,0,1,safe,safe,3
2021-before-edition2021,tikv,13a59e0b,Alg,Panic,11,1,0,0,safe,safe,3
2021-before-edition2021,tikv,15098d02,Cod,Panic,2,1,0,1,unsafe,safe,2
2021-before-edition2021,tikv,17fc6d4b,Alg,Behavior,75,30,0,1,safe,safe,-1
2021-before-edition2021,tikv,1bb82f0a,Mem,Crash,229,61,0,1,safe,safe,-1
2021-before-edition2021,tikv,1c07acbc,Mem,Performance,188,127,0,1,safe,safe,-1
2021-before-edition2021,tikv,1e453231,Conc,Panic,10,0,0,1,safe,safe,-2
2021-before-edition2021,tikv,209a7010,Unwrap,Panic,21,30,0,0,safe,safe,2
2021-before-edition2021,tikv,29d04565,Conc,Performance,314,345,0,1,safe,safe,-1
2021-before-edition2021,tikv,30d86aa5,Alg,Behavior,72,8,0,1,safe,safe,-1
2021-before-edition2021,tikv,3b234d02,Alg,Performance,151,51,0,1,safe,safe,-1
2021-before-edition2021,tikv,4869f2c3,Conc,Performance,3,39,0,0,safe,safe,-1
2021-before-edition2021,tikv,49223bc9,Alg,Behavior,12,10,0,1,safe,safe,-1
2021-before-edition2021,tikv,4976cfaa,Alg,Crash,61,1,0,0,safe,safe,-1
2021-before-edition2021,tikv,4b328ed5,Unwrap,Panic,134,31,0,1,safe,safe,3
2021-before-edition2021,tikv,4eb9ad46,Attr,Behavior,2,1,0,0,safe,safe,-1
2021-before-edition2021,tikv,515df8d5,Ver,Panic,401,314,0,0,safe,safe,-1
2021-before-edition2021,tikv,51ff7291,Conc,Panic,0,0,0,0,safe,safe,1
2021-before-edition2021,tikv,56b3ae67,Alg,Behavior,19,1,0,2,safe,safe,-1
2021-before-edition2021,tikv,60101e90,Alg,Panic,8,33,0,0,safe,safe,3
2021-before-edition2021,tikv,65548bb3,Alg,Panic,34,18,0,0,safe,safe,3
2021-before-edition2021,tikv,6590b6f2,Mem,Performance,17,26,0,0,safe,safe,-1
2021-before-edition2021,tikv,6737c7dd,Alg,Behavior,165,53,0,1,safe,safe,-1
2021-before-edition2021,tikv,690e307d,Alg,Performance,305,26,0,1,safe,safe,-1
2021-before-edition2021,tikv,6be3893f,Alg,Behavior,25,11,0,1,safe,safe,-1
2021-before-edition2021,tikv,6c676b0a,Mem,Performance,74,47,0,1,safe,safe,-1
2021-before-edition2021,tikv,6cd51f9d,Alg,Behavior,1,1,0,0,safe,safe,-1
2021-before-edition2021,tikv,70bf9b20,Alg,Behavior,16,6,0,2,safe,safe,-1
2021-before-edition2021,tikv,71554dd8,Mem,Crash,113,41,0,0,safe,safe,-1
2021-before-edition2021,tikv,72b242d0,Alg,Performance,197,175,0,0,safe,safe,-1
